TANGGAL,UNIT PEMBANGKIT,JAM NYALA,JENIS BAHAN BAKAR,"KAPASITAS STORAGE TANK
 (L)","PERSEDIAAN AWAL 
(L)",PEMAKAIAN (L),PENERIMAAN (L),PERSEDIAAN AKHIR (L),UMUR OPERASI,RENCANA PENERIMAAN (L)
29-05-2022,PLTD KRAYAN,24,B30,12000,5200,2300,,2900,1.260869565,
29-05-2022,PLTD SEI MENGGARIS,24,B30,40000,10204,,,10204,,
29-05-2022,PLTD LONG LAYU,12,B30,10000,200,120,250,330,2.75,
29-05-2022,PLTD PAUPAN,12,B30,8000,230,80,250,400,5,
29-05-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
29-05-2022,PLTD LONG PESO,24,B30,70000,26720,590,,26130,44.28813559,
29-05-2022,PLTD TANAH MERAH,24,B30,10000,18951,1200,,17751,10,
30-05-2022,PLTD KRAYAN,24,B30,12000,2900,1800,2700,3800,2.111111111,
30-05-2022,PLTD SEI MENGGARIS,24,B30,40000,10204,2345,,7859,3.351385928,
30-05-2022,PLTD LONG LAYU,12,B30,10000,330,120,290,500,4.166666667,
30-05-2022,PLTD PAUPAN,12,B30,8000,400,80,360,680,8.5,
30-05-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
30-05-2022,PLTD LONG PESO,24,B30,70000,26130,600,,25530,42.55,
30-05-2022,PLTD TANAH MERAH,24,B30,10000,17751,1215,,16536,10,
31-05-2022,PLTD KRAYAN,24,B30,12000,3800,1800,2000,4000,2.222222222,
31-05-2022,PLTD SEI MENGGARIS,24,B30,40000,7859,970,9965,16854,17.37525773,
31-05-2022,PLTD LONG LAYU,12,B30,10000,500,120,,380,3.166666667,
31-05-2022,PLTD PAUPAN,12,B30,8000,680,80,190,790,9.875,
31-05-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
31-05-2022,PLTD LONG PESO,24,B30,70000,25530,600,,24930,41.55,
31-05-2022,PLTD TANAH MERAH,24,B30,10000,16536,1180,,15356,10,
01-06-2022,PLTD KRAYAN,24,B30,12000,4000,1800,2600,4800,2.666666667,
01-06-2022,PLTD SEI MENGGARIS,24,B30,40000,16854,913,,15941,17.46002191,
01-06-2022,PLTD LONG LAYU,12,B30,10000,380,120,,260,2.166666667,
01-06-2022,PLTD PAUPAN,12,B30,8000,790,80,,710,8.875,
01-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
01-06-2022,PLTD LONG PESO,24,B30,70000,24930,530,,24400,46.03773585,
01-06-2022,PLTD TANAH MERAH,24,B30,10000,15356,1265,,14091,10,
02-06-2022,PLTD KRAYAN,24,B30,12000,4800,2000,,2800,1.4,
02-06-2022,PLTD SEI MENGGARIS,24,B30,40000,15941,944,,14997,15.88665254,
02-06-2022,PLTD LONG LAYU,12,B30,10000,260,120,,140,1.166666667,
02-06-2022,PLTD PAUPAN,12,B30,8000,710,80,,630,7.875,
02-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
02-06-2022,PLTD LONG PESO,24,B30,70000,24400,530,,23870,45.03773585,
02-06-2022,PLTD TANAH MERAH,24,B30,10000,14091,1280,,12811,10,
03-06-2022,PLTD KRAYAN,24,B30,12000,2800,2000,2200,3000,1.5,
03-06-2022,PLTD SEI MENGGARIS,24,B30,40000,14997,973,,14024,14.41315519,
03-06-2022,PLTD LONG LAYU,12,B30,10000,140,120,,20,0.166666667,
03-06-2022,PLTD PAUPAN,12,B30,8000,630,80,,550,6.875,
03-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
03-06-2022,PLTD LONG PESO,24,B30,70000,23870,720,21456,44606,61.95277778,
03-06-2022,PLTD TANAH MERAH,24,B30,10000,12811,1245,,11566,10,
04-06-2022,PLTD KRAYAN,24,B30,12000,3000,2000,2700,3700,1.85,
04-06-2022,PLTD SEI MENGGARIS,24,B30,40000,14024,854,,13170,15.42154567,
04-06-2022,PLTD LONG LAYU,12,B30,10000,20,120,1000,900,7.5,
04-06-2022,PLTD PAUPAN,12,B30,8000,550,50,,500,10,
04-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
04-06-2022,PLTD LONG PESO,24,B30,70000,44606,680,,43926,64.59705882,
04-06-2022,PLTD TANAH MERAH,24,B30,10000,11566,1261,,10305,10,
05-06-2022,PLTD KRAYAN,24,B30,12000,3700,1900,,1800,0.947368421,
05-06-2022,PLTD SEI MENGGARIS,24,B30,40000,13170,1019,,12151,11.92443572,
05-06-2022,PLTD LONG LAYU,12,B30,10000,900,120,,780,6.5,
05-06-2022,PLTD PAUPAN,12,B30,8000,500,70,,430,6.142857143,
05-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
05-06-2022,PLTD LONG PESO,24,B30,70000,43926,730,,43196,59.17260274,
05-06-2022,PLTD TANAH MERAH,24,B30,10000,10305,1235,,9070,10,
06-06-2022,PLTD KRAYAN,24,B30,12000,1800,1800,8400,8400,4.666666667,
06-06-2022,PLTD SEI MENGGARIS,24,B30,40000,12151,1346,,10805,8.027488856,
06-06-2022,PLTD LONG LAYU,12,B30,10000,780,120,,660,5.5,
06-06-2022,PLTD PAUPAN,12,B30,8000,430,75,,355,4.733333333,
06-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
06-06-2022,PLTD LONG PESO,24,B30,70000,43196,730,,42466,58.17260274,
06-06-2022,PLTD TANAH MERAH,24,B30,10000,9070,1009,,8061,10,
07-06-2022,PLTD KRAYAN,24,B30,12000,8400,2000,4100,10500,5.25,
07-06-2022,PLTD SEI MENGGARIS,24,B30,40000,10805,1025,,9780,9.541463415,
07-06-2022,PLTD LONG LAYU,12,B30,10000,660,120,,540,4.5,
07-06-2022,PLTD PAUPAN,12,B30,8000,355,80,,275,3.4375,
07-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
07-06-2022,PLTD LONG PESO,24,B30,70000,42466,760,,41706,54.87631579,
07-06-2022,PLTD TANAH MERAH,24,B30,10000,8061,830,,7231,8.712048193,
08-06-2022,PLTD KRAYAN,24,B30,12000,10500,1800,1400,10100,5.611111111,
08-06-2022,PLTD SEI MENGGARIS,24,B30,40000,9780,979,,8801,8.989785495,
08-06-2022,PLTD LONG LAYU,12,B30,10000,540,120,,420,3.5,
08-06-2022,PLTD PAUPAN,12,B30,8000,275,80,,195,2.4375,
08-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
08-06-2022,PLTD LONG PESO,24,B30,70000,41706,3760,,37946,10.09202128,
08-06-2022,PLTD TANAH MERAH,24,B30,10000,7231,910,,6321,6.946153846,
09-06-2022,PLTD KRAYAN,24,B30,12000,10100,2000,3500,11600,5.8,
09-06-2022,PLTD SEI MENGGARIS,24,B30,40000,8801,1030,,7771,7.544660194,
09-06-2022,PLTD LONG LAYU,12,B30,10000,420,65,,355,5.461538462,
09-06-2022,PLTD PAUPAN,12,B30,8000,195,60,,135,2.25,
09-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
09-06-2022,PLTD LONG PESO,24,B30,70000,37946,710,,37236,52.44507042,
09-06-2022,PLTD TANAH MERAH,24,B30,10000,6321,1272,,5049,3.969339623,
10-06-2022,PLTD KRAYAN,24,B30,12000,11600,2000,2800,12400,6.2,
10-06-2022,PLTD SEI MENGGARIS,24,B30,40000,7771,1005,,6766,6.732338308,
10-06-2022,PLTD LONG LAYU,12,B30,10000,355,120,725,960,8,
10-06-2022,PLTD PAUPAN,12,B30,8000,135,80,1025,1080,13.5,
10-06-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
10-06-2022,PLTD LONG PESO,24,B30,70000,37236,710,,36526,51.44507042,
10-06-2022,PLTD TANAH MERAH,24,B30,10000,5049,1200,19461,23310,19.425,
11-06-2022,PLTD KRAYAN,24,B30,12000,12400,2000,,10400,5.2,
11-06-2022,PLTD SEI MENGGARIS,24,B30,40000,6766,1005,,5761,5.732338308,
11-06-2022,PLTD LONG LAYU,12,B30,10000,960,120,,840,7,
11-06-2022,PLTD PAUPAN,12,B30,8000,1080,80,,1000,12.5,
